source,period,model,week_start,n_opened,long_share,short_share,btc_week_ret,model_week_ret,avg_r
xsec,A,xsec_mom,2022-12-26,1,1.0,0.0,-0.013062228241499607,-0.011772637171428402,-1.0427452189845312
xsec,A,xsec_mom,2023-01-02,0,,,0.030996274428374493,0.01568287749403363,
xsec,A,xsec_mom,2023-01-09,3,1.0,0.0,0.2185418478800225,0.08961476084522557,3.327503109777297
xsec,A,xsec_mom,2023-01-16,1,1.0,0.0,0.08814046518312679,0.01404122627311466,0.6718904574750786
xsec,A,xsec_mom,2023-01-23,0,,,0.04529064468835453,0.024242730093200437,
xsec,A,xsec_mom,2023-01-30,0,,,-0.033948277314463815,-0.021322361586818883,
xsec,A,xsec_mom,2023-02-06,2,1.0,0.0,-0.050196198116498,-0.02586815838414913,-1.0266403207459511
xsec,A,xsec_mom,2023-02-13,2,1.0,0.0,0.114383030291902,0.013293479164668831,-1.0201473181490561
xsec,A,xsec_mom,2023-02-20,2,1.0,0.0,-0.029715980474944947,-0.015215825853876708,-1.0196890486920247
xsec,A,xsec_mom,2023-02-27,0,,,-0.04760752448514327,-0.022128606281971108,
xsec,A,xsec_mom,2023-03-06,2,1.0,0.0,-0.01955985860557996,-0.03329285512487545,-1.0373012324966988
xsec,A,xsec_mom,2023-03-13,3,1.0,0.0,0.2714265579748032,0.032840209533203435,0.7783157825538504
xsec,A,xsec_mom,2023-03-20,1,1.0,0.0,-1.787955615795145e-05,-0.003257441673179984,0.09428580818370434
xsec,A,xsec_mom,2023-03-27,1,1.0,0.0,0.007405844573815212,0.004936172849425047,1.0532618857645204
xsec,A,xsec_mom,2023-04-03,1,1.0,0.0,0.005466517579823638,0.0006152056902364311,0.17446080791800603
xsec,A,xsec_mom,2023-04-10,1,1.0,0.0,0.06998287761910649,0.02964328689224982,-1.0181865195878572
xsec,A,xsec_mom,2023-04-17,1,1.0,0.0,-0.08963039217627145,-0.04704093503246354,-1.0132718356707715
xsec,A,xsec_mom,2023-04-24,3,1.0,0.0,0.05996817837506763,0.008242345855119515,-0.3117680230987842
xsec,A,xsec_mom,2023-05-01,1,1.0,0.0,-0.02783296120139922,-0.02224260131740985,-1.032196746923555
xsec,A,xsec_mom,2023-05-08,2,1.0,0.0,-0.05332039012517631,-0.019908354149997698,-1.0193891145577383
xsec,A,xsec_mom,2023-05-15,2,1.0,0.0,-0.0062490944014504946,-0.008850176283448197,-0.4739427988673149
xsec,A,xsec_mom,2023-05-22,2,1.0,0.0,0.049652867349342156,0.004020335697759947,0.07263008405294957
xsec,A,xsec_mom,2023-05-29,1,1.0,0.0,-0.03416821604371023,0.016539950934881142,-0.23571255478826017
xsec,A,xsec_mom,2023-06-05,1,1.0,0.0,-0.04397322663323078,-0.02307559684011995,-1.021475589126906
xsec,A,xsec_mom,2023-06-12,1,1.0,0.0,0.01646730262574203,-0.014002075069482589,2.946686009613784
xsec,A,xsec_mom,2023-06-19,1,1.0,0.0,0.1565519335129597,0.04452899473868177,2.0238393040714007
xsec,A,xsec_mom,2023-06-26,1,1.0,0.0,0.004744670448840749,0.009167944785217985,0.5632031043266249
xsec,A,xsec_mom,2023-07-03,2,1.0,0.0,-0.01493097851467462,-0.006094559196304528,0.434042748542716
xsec,A,xsec_mom,2023-07-10,1,1.0,0.0,0.002224528158017769,0.029971944225378966,0.41609307548275504
xsec,A,xsec_mom,2023-07-17,2,1.0,0.0,-0.0049287481641240305,-0.008600765262461119,-0.31267749994429994
xsec,A,xsec_mom,2023-07-24,1,1.0,0.0,-0.026534316430532723,-0.00761971009138751,-1.0141338546318879
xsec,A,xsec_mom,2023-07-31,1,1.0,0.0,-0.006652187572566137,-0.015447088198802916,-1.0148097351688845
xsec,A,xsec_mom,2023-08-07,2,1.0,0.0,0.007535546327108733,0.0015645918597744224,-0.25769405954883023
xsec,A,xsec_mom,2023-08-14,1,1.0,0.0,-0.10644192711887535,-0.022350694074185884,-1.0256910646737682
xsec,A,xsec_mom,2023-08-21,3,1.0,0.0,-0.0032877151716027564,-0.021454830392718782,-0.7230020961360584
xsec,A,xsec_mom,2023-08-28,3,1.0,0.0,-0.004995728345777883,-0.031342546181986286,-1.0372706649492216
xsec,A,xsec_mom,2023-09-04,3,1.0,0.0,-0.005151721668418707,-0.0077063152679668345,-0.8112307245389316
xsec,A,xsec_mom,2023-09-11,1,1.0,0.0,0.02670087970864743,-0.022474566880767766,-0.5838516995274267
xsec,A,xsec_mom,2023-09-18,3,1.0,0.0,-0.010799909529553675,0.005451637783900454,8.235740655736775
xsec,A,xsec_mom,2023-09-25,1,1.0,0.0,0.06720652401730076,0.058195242299505345,0.9675911490971993
xsec,A,xsec_mom,2023-10-02,2,1.0,0.0,-0.0031815633581026015,-0.021260593145382423,6.485834659631995
xsec,A,xsec_mom,2023-10-09,1,1.0,0.0,-0.027407221664994985,-0.015388125007757436,-0.01301705495773852
xsec,A,xsec_mom,2023-10-16,0,,,0.10492838174793451,0.09197897186485182,
xsec,A,xsec_mom,2023-10-23,1,1.0,0.0,0.15082767218448123,0.05821865528585457,3.2116759313207734
xsec,A,xsec_mom,2023-10-30,0,,,0.014346292209033606,0.04712474380316012,
xsec,A,xsec_mom,2023-11-06,1,1.0,0.0,0.05856670064734626,0.09962884673571648,-1.0091095385031759
xsec,A,xsec_mom,2023-11-13,2,1.0,0.0,0.008114181204124993,0.02438287823737939,1.9817226370448746
xsec,A,xsec_mom,2023-11-20,0,,,0.0020951682690377726,-0.014506218114263225,
xsec,A,xsec_mom,2023-11-27,1,1.0,0.0,0.06778104138851804,0.011395541247948282,-0.1680061833439574
xsec,A,xsec_mom,2023-12-04,1,1.0,0.0,0.09502005581618667,0.08098179442632136,6.9319058354524525
xsec,A,xsec_mom,2023-12-11,1,1.0,0.0,-0.05499667717941625,-0.007582144220928955,-0.025484050466663317
xsec,A,xsec_mom,2023-12-18,0,,,0.03885219635620185,0.08773614318358036,
xsec,A,xsec_mom,2023-12-25,1,1.0,0.0,-0.016048814076617512,-0.02496374038533089,-1.0053411345698628
xsec,A,xsec_mom,2024-01-01,1,1.0,0.0,0.03871368892398408,-0.029980007745454507,0.23042446471452285
xsec,A,xsec_mom,2024-01-08,1,1.0,0.0,-0.04994628452812311,0.024367038302022692,3.893139464465244
xsec,A,xsec_mom,2024-01-15,1,1.0,0.0,-0.003701414443422313,-0.0026898340842475,-1.0150698188586373
xsec,A,xsec_mom,2024-01-22,1,1.0,0.0,0.01082808521075429,-0.0012235014883001938,1.4069678506808794
xsec,A,xsec_mom,2024-01-29,1,1.0,0.0,0.013169476123187751,0.021146254093801886,-0.06234682759426345
xsec,A,xsec_mom,2024-02-05,1,1.0,0.0,0.1343877229973094,0.05080541135268746,3.203964979396724
