source,period,model,symbol,direction,opened_at,closed_at,r,pnl,coin_ret,btc_ret,aligned_btc,aligned_coin
live-scalp,live,vwap_clone,SOL-USDT-SWAP,short,2026-09-19T16:30:00+00:00,2026-09-19T16:30:00+00:00,-2.225370146814099,-13.65160302,0.0,0.0,neutral,neutral
live-scalp,live,vwap_clone,XRP-USDT-SWAP,short,2026-09-19T16:30:00+00:00,2026-09-19T17:00:00+00:00,-1.5609028822660327,-20.94942649,0.0034155862261255887,-0.0017733075056982628,aligned,misaligned
live-scalp,live,vwap_clone,BNB-USDT-SWAP,short,2026-09-19T16:45:00+00:00,2026-09-19T16:45:00+00:00,-1.8509056884051358,-16.27498256,0.0,0.0,neutral,neutral
live-scalp,live,vwap_clone,BTC-USDT-SWAP,short,2026-09-19T17:00:00+00:00,2026-09-19T17:30:00+00:00,0.5592168721549734,4.1974903794000005,-0.0026469342331113532,-0.0026469342331113532,aligned,aligned
live-scalp,live,vwap_clone,BNB-USDT-SWAP,short,2026-09-19T17:15:00+00:00,2026-09-19T17:45:00+00:00,0.8737356154467654,9.271334388,-0.0022260049757758527,-0.0009238526988645246,aligned,aligned
live-scalp,live,vwap_clone,ETH-USDT-SWAP,short,2026-09-19T17:30:00+00:00,2026-09-19T18:30:00+00:00,0.20764006707588828,1.4052663330000001,-0.0021390293492966617,-0.00010925178485488019,aligned,aligned
live-scalp,live,vwap_clone,BTC-USDT-SWAP,short,2026-09-19T17:45:00+00:00,2026-09-19T21:00:00+00:00,0.6197883168605919,4.452714115,-0.005508944974407681,-0.005508944974407681,aligned,aligned
live-scalp,live,vwap_clone,SOL-USDT-SWAP,short,2026-09-19T18:00:00+00:00,2026-09-19T18:00:00+00:00,-2.0332739590818143,-14.57196442,0.0,0.0,neutral,neutral
live-scalp,live,vwap_clone,SOL-USDT-SWAP,short,2026-09-19T18:15:00+00:00,2026-09-19T18:15:00+00:00,-1.8905517416475777,-15.71464099,0.0,0.0,neutral,neutral
live-scalp,live,vwap_clone,XRP-USDT-SWAP,short,2026-09-19T18:30:00+00:00,2026-09-19T19:00:00+00:00,-1.4642519298611372,-23.31555747,-0.0004906771344456162,-0.0012780172440252091,aligned,aligned
live-scalp,live,vwap_clone,ETHFI-USDT-SWAP,short,2026-09-19T18:45:00+00:00,2026-09-19T19:15:00+00:00,-1.3927525375411818,-26.17559346,0.003933270039332637,-0.00035747014325815396,aligned,misaligned
