bar,symbol,ts,open,close
4H,XRP-USDT-SWAP,2024-02-12T12:00:00+00:00,0.518,0.5277
4H,XRP-USDT-SWAP,2024-02-12T16:00:00+00:00,0.5278,0.5313
4H,XRP-USDT-SWAP,2024-02-13T16:00:00+00:00,0.5199,0.525
4H,XRP-USDT-SWAP,2024-02-14T12:00:00+00:00,0.5318,0.5327
4H,XRP-USDT-SWAP,2024-02-14T16:00:00+00:00,0.5327,0.5387
4H,XRP-USDT-SWAP,2024-02-15T00:00:00+00:00,0.5378,0.5528
4H,XRP-USDT-SWAP,2024-02-19T00:00:00+00:00,0.5572,0.5598
4H,XRP-USDT-SWAP,2024-02-26T00:00:00+00:00,0.5427,0.5409
4H,XRP-USDT-SWAP,2024-02-27T12:00:00+00:00,0.5598,0.5609
4H,XRP-USDT-SWAP,2024-02-27T16:00:00+00:00,0.561,0.5938
4H,XRP-USDT-SWAP,2024-02-27T20:00:00+00:00,0.5938,0.5865
4H,XRP-USDT-SWAP,2024-02-28T00:00:00+00:00,0.5865,0.5783
4H,XRP-USDT-SWAP,2024-02-29T20:00:00+00:00,0.6102,0.5867
4H,XRP-USDT-SWAP,2024-03-01T00:00:00+00:00,0.5868,0.5916
4H,XRP-USDT-SWAP,2024-03-02T04:00:00+00:00,0.6314,0.631
4H,XRP-USDT-SWAP,2024-03-02T08:00:00+00:00,0.6309,0.643
4H,XRP-USDT-SWAP,2024-03-02T16:00:00+00:00,0.6299,0.634
4H,XRP-USDT-SWAP,2024-03-04T00:00:00+00:00,0.6269,0.6351
4H,XRP-USDT-SWAP,2024-03-04T12:00:00+00:00,0.6602,0.6619
4H,XRP-USDT-SWAP,2024-03-04T16:00:00+00:00,0.662,0.6559
4H,XRP-USDT-SWAP,2024-03-05T16:00:00+00:00,0.6387,0.5681
4H,XRP-USDT-SWAP,2024-03-11T16:00:00+00:00,0.6933,0.7311
4H,XRP-USDT-SWAP,2024-03-11T20:00:00+00:00,0.7312,0.7233
4H,XRP-USDT-SWAP,2024-03-25T00:00:00+00:00,0.6328,0.6315
4H,XRP-USDT-SWAP,2024-03-25T04:00:00+00:00,0.6314,0.629
4H,XRP-USDT-SWAP,2024-03-25T16:00:00+00:00,0.6421,0.6554
4H,XRP-USDT-SWAP,2024-03-27T04:00:00+00:00,0.6319,0.6205
4H,XRP-USDT-SWAP,2024-03-27T12:00:00+00:00,0.6222,0.6112
4H,XRP-USDT-SWAP,2024-03-31T16:00:00+00:00,0.6267,0.6291
4H,XRP-USDT-SWAP,2024-04-01T00:00:00+00:00,0.6296,0.6276
4H,XRP-USDT-SWAP,2024-04-01T04:00:00+00:00,0.6276,0.6152
4H,XRP-USDT-SWAP,2024-04-09T04:00:00+00:00,0.6136,0.6083
4H,XRP-USDT-SWAP,2024-04-09T12:00:00+00:00,0.6244,0.6222
4H,XRP-USDT-SWAP,2024-04-10T12:00:00+00:00,0.6126,0.6074
4H,XRP-USDT-SWAP,2024-04-12T16:00:00+00:00,0.5933,0.5362
4H,XRP-USDT-SWAP,2024-04-25T00:00:00+00:00,0.5275,0.5258
4H,XRP-USDT-SWAP,2024-04-29T04:00:00+00:00,0.5035,0.5025
4H,XRP-USDT-SWAP,2024-04-29T08:00:00+00:00,0.5025,0.5057
4H,XRP-USDT-SWAP,2024-04-30T08:00:00+00:00,0.5101,0.497
4H,XRP-USDT-SWAP,2024-05-02T04:00:00+00:00,0.5108,0.5137
4H,XRP-USDT-SWAP,2024-05-03T12:00:00+00:00,0.5163,0.5268
4H,XRP-USDT-SWAP,2024-05-04T00:00:00+00:00,0.5315,0.5295
4H,XRP-USDT-SWAP,2024-05-04T16:00:00+00:00,0.5359,0.5336
4H,XRP-USDT-SWAP,2024-05-04T20:00:00+00:00,0.5336,0.5301
4H,XRP-USDT-SWAP,2024-05-06T00:00:00+00:00,0.5295,0.5316
4H,XRP-USDT-SWAP,2024-05-06T08:00:00+00:00,0.5397,0.535
4H,XRP-USDT-SWAP,2024-05-06T16:00:00+00:00,0.5595,0.5466
4H,XRP-USDT-SWAP,2024-05-07T00:00:00+00:00,0.5401,0.5387
4H,XRP-USDT-SWAP,2024-05-09T04:00:00+00:00,0.522,0.5158
4H,XRP-USDT-SWAP,2024-05-09T12:00:00+00:00,0.5138,0.517
4H,XRP-USDT-SWAP,2024-05-09T16:00:00+00:00,0.517,0.5194
4H,XRP-USDT-SWAP,2024-05-10T12:00:00+00:00,0.5162,0.5013
4H,XRP-USDT-SWAP,2024-05-10T16:00:00+00:00,0.5013,0.5052
4H,XRP-USDT-SWAP,2024-05-10T20:00:00+00:00,0.5052,0.5021
4H,XRP-USDT-SWAP,2024-05-13T00:00:00+00:00,0.4994,0.4932
4H,XRP-USDT-SWAP,2024-05-14T16:00:00+00:00,0.5082,0.5054
4H,XRP-USDT-SWAP,2024-05-14T20:00:00+00:00,0.5053,0.5002
4H,XRP-USDT-SWAP,2024-05-15T12:00:00+00:00,0.5006,0.5107
4H,XRP-USDT-SWAP,2024-05-16T00:00:00+00:00,0.519,0.5174
4H,XRP-USDT-SWAP,2024-05-16T16:00:00+00:00,0.5186,0.5182
4H,XRP-USDT-SWAP,2024-05-17T12:00:00+00:00,0.5203,0.5254
4H,XRP-USDT-SWAP,2024-05-19T16:00:00+00:00,0.5125,0.5075
4H,XRP-USDT-SWAP,2024-05-19T20:00:00+00:00,0.5074,0.5095
4H,XRP-USDT-SWAP,2024-05-20T00:00:00+00:00,0.5095,0.5131
4H,XRP-USDT-SWAP,2024-05-20T04:00:00+00:00,0.5131,0.5138
4H,XRP-USDT-SWAP,2024-05-20T12:00:00+00:00,0.5124,0.5166
4H,XRP-USDT-SWAP,2024-05-20T16:00:00+00:00,0.5166,0.5339
4H,XRP-USDT-SWAP,2024-05-23T16:00:00+00:00,0.5292,0.5205
4H,XRP-USDT-SWAP,2024-05-23T20:00:00+00:00,0.5205,0.5287
4H,XRP-USDT-SWAP,2024-05-24T08:00:00+00:00,0.5231,0.5278
4H,XRP-USDT-SWAP,2024-05-28T04:00:00+00:00,0.5275,0.5263
4H,XRP-USDT-SWAP,2024-05-30T04:00:00+00:00,0.5275,0.5159
4H,XRP-USDT-SWAP,2024-06-03T12:00:00+00:00,0.5189,0.5219
4H,XRP-USDT-SWAP,2024-06-04T12:00:00+00:00,0.5227,0.5295
4H,XRP-USDT-SWAP,2024-06-04T20:00:00+00:00,0.5272,0.5257
4H,XRP-USDT-SWAP,2024-06-05T16:00:00+00:00,0.5294,0.5274
