period,symbol,model,first_bar,last_bar,bars,years,trades,win_rate_pct,profit_factor,avg_r,avg_win_pct,avg_loss_pct,payoff,max_drawdown_pct,account_max_drawdown_pct,total_return_pct,buy_hold_pct,cost_pct,cost_per_r,fees,slippage_cost,funding,avg_stop_distance_pct,median_hold_bars,max_hold_bars
A,NEAR-USDT-SWAP,ema_trend,2022-01-01T04:00:00+00:00,2024-12-30T20:00:00+00:00,6569,3.0,45,35.55555555555556,1.0340322719445354,0.02281544182973691,8.673757950445921,-4.667090849121674,1.8584934878819177,-12.171767817100001,-12.94805143048957,0.5699969000000138,-65.75193735325652,0.17017320871302055,0.04298919576818346,159.61853789999995,21.282474098799998,0.0,4.484533322101285,7.0,46.0
A,NEAR-USDT-SWAP,trend,2022-01-01T04:00:00+00:00,2024-12-30T20:00:00+00:00,6569,3.0,182,34.065934065934066,0.8224809262755916,-0.03833167010115755,3.6293225818724517,-2.289681463013285,1.5850775055392035,-11.863744186404004,-11.881048677406724,-6.96962740999999,-65.75193735325652,0.2569169269504756,0.042730733271391735,431.5395352770002,306.7206283352,0.0,7.172534800202983,1.0,11.0
A,PENGU-USDT-SWAP,ema_trend,2024-12-17T12:00:00+00:00,2024-12-30T20:00:00+00:00,81,0.04,0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,0,0,0,nan,nan,nan
A,PENGU-USDT-SWAP,trend,2024-12-17T12:00:00+00:00,2024-12-30T20:00:00+00:00,81,0.04,0,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,nan,nan,nan,0,0,0,nan,nan,nan
A,ETHFI-USDT-SWAP,ema_trend,2024-03-18T12:00:00+00:00,2024-12-30T20:00:00+00:00,1725,0.79,4,25.0,0.6423723866754127,-0.27444693756301375,14.162554866876906,-6.858152614365641,2.0650684904869094,-3.098248981,-3.0383375063068208,-1.12639751000001,nan,0.16851548909593903,0.024878751043561586,8.837502592,1.1783326527,0.0,6.823484392915628,6.0,18.0
A,ETHFI-USDT-SWAP,trend,2024-03-18T12:00:00+00:00,2024-12-30T20:00:00+00:00,1725,0.79,12,25.0,0.3543005983779518,-0.1754111017348942,2.489280895529364,-2.7689859172727704,0.898986477324199,-2.863215489,-2.863215490000004,-2.094084679999997,nan,0.2973839437578042,0.04019569678406485,24.06909912,23.4823767142,0.0,7.831071664365884,2.0,6.0
B,BTC-USDT-SWAP,ema_trend,2024-07-21T16:00:00+00:00,2026-09-18T08:00:00+00:00,4733,2.16,39,41.02564102564102,1.205813058436287,0.13244091175003522,3.801212011836702,-2.173965052682633,1.7485156935462585,-5.835821138000001,-6.45289366307763,4.8587737000000075,16.177714251682463,0.1703129645558722,0.09469445711225351,341.89758613900005,45.586353654000014,-9.9025271609,2.0067006354660912,9.0,61.0
B,BTC-USDT-SWAP,trend,2024-07-21T16:00:00+00:00,2026-09-18T08:00:00+00:00,4733,2.16,148,26.351351351351347,0.5659575067757766,-0.13567511737494464,1.8527765080609162,-1.0830086286001488,1.710768002334143,-22.112454735363002,-21.673706417481718,-18.426533980000002,16.177714251682463,0.22481612697990788,0.09325965732085727,847.8808917670003,421.3142026160001,-0.40868847298000005,2.7688011417952954,1.0,7.0
B,ETH-USDT-SWAP,ema_trend,2024-07-21T16:00:00+00:00,2026-09-18T08:00:00+00:00,4733,2.16,43,34.883720930232556,0.9691776710594944,-0.021282931984910144,4.8736598760812955,-3.1307442143428412,1.5567096966125995,-7.691844013,-7.953777477410484,-1.3373563400000066,-28.36847819875422,0.17006258482393743,0.06648567672766428,255.31420097700004,34.0418950558,-3.6973105075999997,2.819144668640075,5.0,39.0
B,ETH-USDT-SWAP,trend,2024-07-21T16:00:00+00:00,2026-09-18T08:00:00+00:00,4733,2.16,154,32.467532467532465,0.903176701599764,-0.023811162487072317,2.7618166658625594,-1.4855474815848164,1.8591237911266152,-12.223541134909997,-11.89175323616939,-3.9988741900000013,-28.36847819875422,0.22997227636009926,0.06314991330616382,633.3837756170001,336.38069511530017,-1.42221105266,4.281749356655971,1.0,11.0
